ticker,split,model,lookback,signature_level,forward,k_neighbors,signature_mmd,volatility,volatility_error,var_95,var_99,var_95_error,es_95,es_99,es_95_error,max_drawdown,max_drawdown_error,squared_return_acf_error
SPY,validation,signature_bootstrap,20,2,1,50,0.0022848738927501618,0.1378704285870448,0.04990806337934803,0.013832302104205694,0.02411958050564926,0.0056608948632706525,0.02167455488174108,0.02897544565911715,0.002410579634282855,-0.07070880860986495,0.034608535435027565,0.03600114750588328
EURUSD=X,validation,real,20,2,1,50,,0.08520625322480384,0.0,0.008679789401987669,0.011764545268720738,0.0,0.011057507353115847,0.013384970437742678,0.0,-0.05456861125310367,0.0,0.0
EURUSD=X,validation,historical_bootstrap,20,2,1,50,7.330373065751831e-05,0.077418519741797,0.007787733483006834,0.007145730311319926,0.01139383976015668,0.0015340590906677432,0.010405850954854943,0.014607672577161713,0.0006516563982609039,-0.04727752570405906,0.007291085549044611,0.027644243793049784
EURUSD=X,validation,signature_bootstrap,20,2,1,50,0.0004586747068674529,0.07018572997492502,0.01502052324987882,0.006546535047768601,0.009674257441467368,0.0021332543542190684,0.00903735942787254,0.012309482919172908,0.0020201479252433072,-0.0376423791161028,0.016926232137000875,0.02376042403064072
SPY,validation,real,20,2,1,100,,0.18777849196639282,0.0,0.019493196967476346,0.02532593439381509,0.0,0.024085134516023936,0.028244347110469803,0.0,-0.10531734404489251,0.0,0.0
SPY,validation,historical_bootstrap,20,2,1,100,0.0014328414392635552,0.17774738868581086,0.01003110328058196,0.0165480653477423,0.03275146975983915,0.0029451316197340455,0.029044259973951502,0.04555678995154705,0.004959125457927566,-0.08992208132997967,0.015395262714912844,0.03688446274931155
SPY,validation,signature_bootstrap,20,2,1,100,0.0024305199584610075,0.1311752955599707,0.05660319640642211,0.013179787393351836,0.02297127291789829,0.006313409574124511,0.02045958136311573,0.028146273949023227,0.003625553152908207,-0.06584405016979278,0.039473293875099735,0.03597689641403509
EURUSD=X,validation,real,20,2,1,100,,0.08520625322480384,0.0,0.008679789401987669,0.011764545268720738,0.0,0.011057507353115847,0.013384970437742678,0.0,-0.05456861125310367,0.0,0.0
EURUSD=X,validation,historical_bootstrap,20,2,1,100,7.330373065751831e-05,0.077418519741797,0.007787733483006834,0.007145730311319926,0.01139383976015668,0.0015340590906677432,0.010405850954854943,0.014607672577161713,0.0006516563982609039,-0.04727752570405906,0.007291085549044611,0.027644243793049784
EURUSD=X,validation,signature_bootstrap,20,2,1,100,0.00021162773043839278,0.0715787308956128,0.013627522329191039,0.006636085985195472,0.009969413963586906,0.002043703416792197,0.009436157513836623,0.01372314676319214,0.0016213498392792236,-0.03860911260343129,0.01595949864967238,0.02735000956665465
SPY,validation,real,20,2,5,5,,0.18777849196639282,0.0,0.019493196967476346,0.02532593439381509,0.0,0.024085134516023936,0.028244347110469803,0.0,-0.10531734404489251,0.0,0.0
SPY,validation,historical_bootstrap,20,2,5,5,0.002779552048089715,0.1744588109906285,0.01331968097576433,0.017112872777416393,0.031227201177578212,0.0023803241900599535,0.027346014010391505,0.03842508035933998,0.003260879494367569,-0.07897177863305109,0.026345565411841423,0.049540895665611887
SPY,validation,signature_bootstrap,20,2,5,5,0.001962413989531838,0.14708022431062986,0.040698267655762954,0.015436491102327119,0.025454501817220233,0.004056705865149227,0.023190737047992113,0.03105567486051891,0.0008943974680318233,-0.07170026258091852,0.03361708146397399,0.0395343344065253
EURUSD=X,validation,real,20,2,5,5,,0.08520625322480384,0.0,0.008679789401987669,0.011764545268720738,0.0,0.011057507353115847,0.013384970437742678,0.0,-0.05456861125310367,0.0,0.0
EURUSD=X,validation,historical_bootstrap,20,2,5,5,1.8765964415567623e-05,0.07681957701554029,0.008386676209263547,0.007439221205147584,0.011231819491900778,0.001240568196840085,0.010467177537803834,0.01472019804178723,0.0005903298153120129,-0.045777300472498644,0.008791310780605029,0.024479585882186135
EURUSD=X,validation,signature_bootstrap,20,2,5,5,0.00017947017272107305,0.07089136358109119,0.01431488964371265,0.006811130597255535,0.00988167866068766,0.0018686588047321338,0.009281831718109671,0.012592329454421462,0.0017756756350061752,-0.03901127466418507,0.015557336588918606,0.02121239908270124
SPY,validation,real,20,2,5,10,,0.18777849196639282,0.0,0.019493196967476346,0.02532593439381509,0.0,0.024085134516023936,0.028244347110469803,0.0,-0.10531734404489251,0.0,0.0
SPY,validation,historical_bootstrap,20,2,5,10,0.002779552048089715,0.1744588109906285,0.01331968097576433,0.017112872777416393,0.031227201177578212,0.0023803241900599535,0.027346014010391505,0.03842508035933998,0.003260879494367569,-0.07897177863305109,0.026345565411841423,0.049540895665611887
SPY,validation,signature_bootstrap,20,2,5,10,0.0009300618642992317,0.16149398714465635,0.02628450482173647,0.015966025618445477,0.029475335229231514,0.0035271713490308693,0.02623039254375061,0.03559531099776534,0.0021452580277266722,-0.08424387154199693,0.021073472502895582,0.04695281633598135
EURUSD=X,validation,real,20,2,5,10,,0.08520625322480384,0.0,0.008679789401987669,0.011764545268720738,0.0,0.011057507353115847,0.013384970437742678,0.0,-0.05456861125310367,0.0,0.0
EURUSD=X,validation,historical_bootstrap,20,2,5,10,1.8765964415567623e-05,0.07681957701554029,0.008386676209263547,0.007439221205147584,0.011231819491900778,0.001240568196840085,0.010467177537803834,0.01472019804178723,0.0005903298153120129,-0.045777300472498644,0.008791310780605029,0.024479585882186135
EURUSD=X,validation,signature_bootstrap,20,2,5,10,0.0002550211309429375,0.07148283574299,0.01372341748181384,0.006902674784648713,0.009846274945480404,0.0017771146173389558,0.009250158693738292,0.01265020642651552,0.0018073486593775546,-0.03840743332009292,0.01616117793301075,0.02958747141680807
SPY,validation,real,20,2,5,20,,0.18777849196639282,0.0,0.019493196967476346,0.02532593439381509,0.0,0.024085134516023936,0.028244347110469803,0.0,-0.10531734404489251,0.0,0.0
SPY,validation,historical_bootstrap,20,2,5,20,0.002779552048089715,0.1744588109906285,0.01331968097576433,0.017112872777416393,0.031227201177578212,0.0023803241900599535,0.027346014010391505,0.03842508035933998,0.003260879494367569,-0.07897177863305109,0.026345565411841423,0.049540895665611887
